,Time,TPU_cores
0,1651064158,88
1,1651064188,88
2,1651064218,88
3,1651064248,112
4,1651064278,120
5,1651064308,120
6,1651064338,120
7,1651064368,120
8,1651064398,112
9,1651064428,112
10,1651064458,112
11,1651064488,112
12,1651064518,120
13,1651064548,120
14,1651064578,120
15,1651064608,120
16,1651064638,120
17,1651064668,120
18,1651064698,120
19,1651064728,120
20,1651064758,120
21,1651064788,120
22,1651064818,120
23,1651064848,120
24,1651064878,120
25,1651064908,120
26,1651064938,120
27,1651064968,120
28,1651064998,120
29,1651065028,120
30,1651065058,120
31,1651065088,120
32,1651065118,120
33,1651065148,120
34,1651065178,120
35,1651065208,120
36,1651065238,120
37,1651065268,120
38,1651065298,120
39,1651065328,120
40,1651065358,120
41,1651065388,120
42,1651065418,120
43,1651065448,120
44,1651065478,120
45,1651065508,120
46,1651065538,120
47,1651065568,120
48,1651065598,120
49,1651065628,120
50,1651065658,120
51,1651065688,120
52,1651065718,120
53,1651065748,120
54,1651065778,120
55,1651065808,120
56,1651065838,120
57,1651065868,120
58,1651065898,120
59,1651065928,120
60,1651065958,120
61,1651065988,120
62,1651066018,120
63,1651066048,120
64,1651066078,120
65,1651066108,120
66,1651066138,120
67,1651066168,120
68,1651066198,120
69,1651066228,120
70,1651066258,120
71,1651066288,120
72,1651066318,120
73,1651066348,120
74,1651066378,120
75,1651066408,120
76,1651066438,120
77,1651066468,120
78,1651066498,120
79,1651066528,120
80,1651066558,120
81,1651066588,120
82,1651066618,120
83,1651066648,120
84,1651066678,120
85,1651066708,120
86,1651066738,120
87,1651066768,120
88,1651066798,120
89,1651066828,120
90,1651066858,120
91,1651066888,120
92,1651066918,120
93,1651066948,120
94,1651066978,120
95,1651067008,120
96,1651067038,120
97,1651067068,120
98,1651067098,120
99,1651067128,120
100,1651067158,120
101,1651067188,120
102,1651067218,120
103,1651067248,120
104,1651067278,120
105,1651067308,120
106,1651067338,120
107,1651067368,120
108,1651067398,120
109,1651067428,120
110,1651067458,120
111,1651067488,120
112,1651067518,120
113,1651067548,120
114,1651067578,120
115,1651067608,120
116,1651067638,120
117,1651067668,120
118,1651067698,120
119,1651067728,120
120,1651067758,120
121,1651067788,120
122,1651067818,120
123,1651067848,120
124,1651067878,120
125,1651067908,120
126,1651067938,120
127,1651067968,120
128,1651067998,120
129,1651068028,120
130,1651068058,120
131,1651068088,120
132,1651068118,120
133,1651068148,120
134,1651068178,120
135,1651068208,120
136,1651068238,120
137,1651068268,120
138,1651068298,120
139,1651068328,120
140,1651068358,120
141,1651068388,120
142,1651068418,120
143,1651068448,120
144,1651068478,120
145,1651068508,120
146,1651068538,120
147,1651068568,120
148,1651068598,120
149,1651068628,120
150,1651068658,120
151,1651068688,120
152,1651068718,120
153,1651068748,120
154,1651068778,120
155,1651068808,120
156,1651068838,120
157,1651068868,120
158,1651068898,120
159,1651068928,120
160,1651068958,120
161,1651068988,120
162,1651069018,120
163,1651069048,120
164,1651069078,120
165,1651069108,120
166,1651069138,120
167,1651069168,120
168,1651069198,120
169,1651069228,120
170,1651069258,120
171,1651069288,120
172,1651069318,120
173,1651069348,120
174,1651069378,120
175,1651069408,120
176,1651069438,120
177,1651069468,120
178,1651069498,120
179,1651069528,120
180,1651069558,120
181,1651069588,120
182,1651069618,120
183,1651069648,120
184,1651069678,120
185,1651069708,120
186,1651069738,120
187,1651069768,120
188,1651069798,120
189,1651069828,120
190,1651069858,120
191,1651069888,120
192,1651069918,120
193,1651069948,120
194,1651069978,120
195,1651070008,120
196,1651070038,120
197,1651070068,120
198,1651070098,120
199,1651070128,120
200,1651070158,120
201,1651070188,120
202,1651070218,120
203,1651070248,120
204,1651070278,120
205,1651070308,120
206,1651070338,120
207,1651070368,120
208,1651070398,120
209,1651070428,120
210,1651070458,120
211,1651070488,120
212,1651070518,120
213,1651070548,120
214,1651070578,120
215,1651070608,120
216,1651070638,120
217,1651070668,120
218,1651070698,120
219,1651070728,120
220,1651070758,120
221,1651070788,120
222,1651070818,120
223,1651070848,120
224,1651070878,120
225,1651070908,120
226,1651070938,120
227,1651070968,120
228,1651070998,120
229,1651071028,120
230,1651071058,120
231,1651071088,120
232,1651071118,120
233,1651071148,120
234,1651071178,120
235,1651071208,120
236,1651071238,120
237,1651071268,120
238,1651071298,120
239,1651071328,120
240,1651071358,120
241,1651071388,120
242,1651071418,120
243,1651071448,120
244,1651071478,120
245,1651071508,120
246,1651071538,120
247,1651071568,120
248,1651071598,120
249,1651071628,120
250,1651071658,120
251,1651071688,120
252,1651071718,120
253,1651071748,120
254,1651071778,120
255,1651071808,120
256,1651071838,120
257,1651071868,120
258,1651071898,120
259,1651071928,120
260,1651071958,120
261,1651071988,120
262,1651072018,120
263,1651072048,120
264,1651072078,120
265,1651072108,120
266,1651072138,120
267,1651072168,120
268,1651072198,120
269,1651072228,120
270,1651072258,120
271,1651072288,120
272,1651072318,120
273,1651072348,120
274,1651072378,120
275,1651072408,120
276,1651072438,120
277,1651072468,120
278,1651072498,120
279,1651072528,120
280,1651072558,120
281,1651072588,120
282,1651072618,120
283,1651072648,120
284,1651072678,120
285,1651072708,120
286,1651072738,120
287,1651072768,120
288,1651072798,120
289,1651072828,120
290,1651072858,120
291,1651072888,120
292,1651072918,120
293,1651072948,120
294,1651072978,120
295,1651073008,120
296,1651073038,120
297,1651073068,120
298,1651073098,120
299,1651073128,120
300,1651073158,120
301,1651073188,120
302,1651073218,120
303,1651073248,120
304,1651073278,120
305,1651073308,120
306,1651073338,120
307,1651073368,120
308,1651073398,120
309,1651073428,120
310,1651073458,120
311,1651073488,120
312,1651073518,120
313,1651073548,120
314,1651073578,120
315,1651073608,120
316,1651073638,120
317,1651073668,120
318,1651073698,120
319,1651073728,120
320,1651073758,120
321,1651073788,120
322,1651073818,120
323,1651073848,120
324,1651073878,120
325,1651073908,120
326,1651073938,120
327,1651073968,120
328,1651073998,120
329,1651074028,120
330,1651074058,120
331,1651074088,120
332,1651074118,120
333,1651074148,120
334,1651074178,120
335,1651074208,120
336,1651074238,120
337,1651074268,120
338,1651074298,120
339,1651074328,120
340,1651074358,120
341,1651074388,120
342,1651074418,120
343,1651074448,120
344,1651074478,120
345,1651074508,120
346,1651074538,120
347,1651074568,120
348,1651074598,80
349,1651074628,80
350,1651074658,80
351,1651074688,80
352,1651074718,80
353,1651074748,80
354,1651074778,80
355,1651074808,80
356,1651074838,80
357,1651074868,80
358,1651074898,80
359,1651074928,80
360,1651074958,80
361,1651074988,80
362,1651075018,80
363,1651075048,80
364,1651075078,80
365,1651075108,80
366,1651075138,80
367,1651075168,80
368,1651075198,80
369,1651075228,80
370,1651075258,80
371,1651075288,80
372,1651075318,80
373,1651075348,120
374,1651075378,120
375,1651075408,120
376,1651075438,120
377,1651075468,120
378,1651075498,120
379,1651075528,120
380,1651075558,120
381,1651075588,120
382,1651075618,120
383,1651075648,120
384,1651075678,120
385,1651075708,120
386,1651075738,120
387,1651075768,120
388,1651075798,120
389,1651075828,120
390,1651075858,120
391,1651075888,120
392,1651075918,120
393,1651075948,120
394,1651075978,120
395,1651076008,120
396,1651076038,120
397,1651076068,120
398,1651076098,120
399,1651076128,120
400,1651076158,120
401,1651076188,120
402,1651076218,120
403,1651076248,120
404,1651076278,120
405,1651076308,120
406,1651076338,120
407,1651076368,120
408,1651076398,120
409,1651076428,120
410,1651076458,120
411,1651076488,120
412,1651076518,120
413,1651076548,112
414,1651076578,104
415,1651076608,104
416,1651076638,104
417,1651076668,88
418,1651076698,88
419,1651076728,88
420,1651076758,80
421,1651076788,88
422,1651076818,88
423,1651076848,88
424,1651076878,88
425,1651076908,88
426,1651076938,88
427,1651076968,88
428,1651076998,80
429,1651077028,80
430,1651077058,80
431,1651077088,80
432,1651077118,72
433,1651077148,72
434,1651077178,72
435,1651077208,72
436,1651077238,80
437,1651077268,80
438,1651077298,80
439,1651077328,80
440,1651077358,80
441,1651077388,72
442,1651077418,72
443,1651077448,72
444,1651077478,72
445,1651077508,80
446,1651077538,72
447,1651077568,72
448,1651077598,72
449,1651077628,72
450,1651077658,72
451,1651077688,72
452,1651077718,72
453,1651077748,72
454,1651077778,64
455,1651077808,56
456,1651077838,56
457,1651077868,64
458,1651077898,64
459,1651077928,64
460,1651077958,64
461,1651077988,64
462,1651078018,56
463,1651078048,56
464,1651078078,56
465,1651078108,56
466,1651078138,56
467,1651078168,56
468,1651078198,56
469,1651078228,48
470,1651078258,48
471,1651078288,48
472,1651078318,48
473,1651078348,48
474,1651078378,48
475,1651078408,48
476,1651078438,48
477,1651078468,48
478,1651078498,48
479,1651078528,48
480,1651078558,48
481,1651078588,48
482,1651078618,48
483,1651078648,48
484,1651078678,48
485,1651078708,48
486,1651078738,48
487,1651078768,48
488,1651078798,48
489,1651078828,48
490,1651078858,48
491,1651078888,48
492,1651078918,48
493,1651078948,48
494,1651078978,48
495,1651079008,48
496,1651079038,48
497,1651079068,48
498,1651079098,48
499,1651079128,48
500,1651079158,48
501,1651079188,48
502,1651079218,48
503,1651079248,48
504,1651079278,48
505,1651079308,48
506,1651079338,48
507,1651079368,48
508,1651079398,48
509,1651079428,48
510,1651079458,48
511,1651079488,48
512,1651079518,48
513,1651079548,48
514,1651079578,48
515,1651079608,48
516,1651079638,48
517,1651079668,48
518,1651079698,48
519,1651079728,48
520,1651079758,48
